X    Y    Z
1.0000000000e-01   0.0000000000e+00   0.0000000000e+00
9.9600559350e-02   -1.1992815652e-04   -3.5882584882e-09
9.5666901144e-02   -1.3114952186e-03   -4.2021452147e-07
7.7931864075e-02   -6.9568588666e-03   -1.0594336392e-05
6.2364185046e-02   -1.2384038746e-02   -2.9678883694e-05
4.8609240518e-02   -1.7686061798e-02   -5.2701160634e-05
3.6359519445e-02   -2.2948830707e-02   -7.5888475130e-05
2.5347370059e-02   -2.8252788276e-02   -9.6288966728e-05
1.5338754695e-02   -3.3674412152e-02   -1.1148359529e-04
6.1278611056e-03   -3.9287568949e-02   -1.1936245018e-04
-2.4675592328e-03   -4.5164754008e-02   -1.1794522519e-04
-1.0610236775e-02   -5.1378240433e-02   -1.0523049186e-04
-1.8446908737e-02   -5.8001158583e-02   -7.9061776300e-05
-2.6111404991e-02   -6.5108525103e-02   -3.7000752429e-05
-3.3727365565e-02   -7.2778238669e-02   2.3800641404e-05
-4.1410650690e-02   -8.1092057983e-02   1.0673649832e-04
-4.9271496128e-02   -9.0136576144e-02   2.1589864534e-04
-5.7416459532e-02   -1.0000420419e-01   3.5625084135e-04
-6.5950197653e-02   -1.1079417546e-01   5.3383304483e-04
-7.4977109090e-02   -1.2261358121e-01   7.5600418215e-04
-8.4602872845e-02   -1.3557844671e-01   1.0317330757e-03
-9.4935909126e-02   -1.4981485564e-01   1.3719488119e-03
-1.0608878534e-01   -1.6546012890e-01   1.7899638767e-03
-1.1817958706e-01   -1.8266406170e-01   2.3019859113e-03
-1.3133327069e-01   -2.0159021999e-01   2.9277369987e-03
-1.4568301139e-01   -2.2241729329e-01   3.6912030605e-03
-1.6137155646e-01   -2.4534049579e-01   4.6215402841e-03
-1.7855259047e-01   -2.7057300016e-01   5.7541705966e-03
-1.9739211378e-01   -2.9834737913e-01   7.1321040994e-03
-2.1806983012e-01   -3.2891701610e-01   8.8075331073e-03
-2.4078053117e-01   -3.6255742880e-01   1.0843749962e-02
-2.6573545657e-01   -3.9956742572e-01   1.3317448975e-02
-2.9316359240e-01   -4.4026996350e-01   1.6321481232e-02
-2.9375258801e-01   -4.4114411384e-01   1.6389265424e-02
-2.9970570570e-01   -4.4997936136e-01   1.7082107212e-02
-3.3050390960e-01   -4.9568219807e-01   2.0891258080e-02
-3.6435424308e-01   -5.4588417956e-01   2.5512887593e-02
-4.0154990688e-01   -6.0098552608e-01   3.1117582362e-02
-4.4240499082e-01   -6.6140652656e-01   3.7910600071e-02
-4.8725392900e-01   -7.2758282074e-01   4.6138337365e-02
