X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   1.9999999900e-01
1.1000000000e-03   1.9999987899e-01
8.9163165608e-03   1.9999204317e-01
1.6732633122e-02   1.9997195752e-01
2.4548949682e-02   1.9993959566e-01
3.2365266243e-02   1.9989493190e-01
4.0181582804e-02   1.9983794124e-01
4.7997899365e-02   1.9976859938e-01
5.5814215926e-02   1.9968688273e-01
6.3630532487e-02   1.9959276838e-01
7.1446849047e-02   1.9948623414e-01
7.9263165608e-02   1.9936725852e-01
8.7079482169e-02   1.9923582073e-01
9.4895798730e-02   1.9909190071e-01
1.0271211529e-01   1.9893547910e-01
1.1052843185e-01   1.9876653725e-01
1.1834474841e-01   1.9858505725e-01
1.2616106497e-01   1.9839102189e-01
1.3397738153e-01   1.9818441470e-01
1.4179369809e-01   1.9796521991e-01
1.4961001466e-01   1.9773342249e-01
1.5742633122e-01   1.9748900816e-01
1.6524264778e-01   1.9723196333e-01
1.7305896434e-01   1.9696227518e-01
1.8087528090e-01   1.9667993161e-01
1.8869159746e-01   1.9638492124e-01
1.9650791402e-01   1.9607723347e-01
2.0432423058e-01   1.9575685840e-01
2.1214054714e-01   1.9542378689e-01
2.1995686370e-01   1.9507801056e-01
2.2777318026e-01   1.9471952174e-01
2.3558949682e-01   1.9434831355e-01
2.4340581339e-01   1.9396437982e-01
2.5122212995e-01   1.9356771517e-01
2.5903844651e-01   1.9315831494e-01
2.6685476307e-01   1.9273617524e-01
2.7467107963e-01   1.9230129294e-01
2.8248739619e-01   1.9185366567e-01
2.9030371275e-01   1.9139329179e-01
2.9812002931e-01   1.9092017046e-01
3.0593634587e-01   1.9043430158e-01
3.1375266243e-01   1.8993568583e-01
3.2156897899e-01   1.8942432462e-01
3.2938529555e-01   1.8890022017e-01
3.3720161212e-01   1.8836337544e-01
3.4501792868e-01   1.8781379416e-01
3.5283424524e-01   1.8725148085e-01
3.6065056180e-01   1.8667644077e-01
3.6846687836e-01   1.8608867999e-01
3.7628319492e-01   1.8548820531e-01
3.8409951148e-01   1.8487502434e-01
3.9191582804e-01   1.8424914544e-01
3.9973214460e-01   1.8361057778e-01
4.0754846116e-01   1.8295933126e-01
4.1536477772e-01   1.8229541660e-01
4.2318109428e-01   1.8161884527e-01
4.3099741085e-01   1.8092962955e-01
4.3881372741e-01   1.8022778246e-01
4.4663004397e-01   1.7951331784e-01
4.5444636053e-01   1.7878625030e-01
4.6226267709e-01   1.7804659521e-01
4.7007899365e-01   1.7729436876e-01
4.7789531021e-01   1.7652958789e-01
4.8571162677e-01   1.7575227036e-01
4.9352794333e-01   1.7496243469e-01
5.0134425989e-01   1.7416010019e-01
5.0916057645e-01   1.7334528695e-01
5.1697689301e-01   1.7251801588e-01
5.2479320957e-01   1.7167830863e-01
5.3260952614e-01   1.7082618766e-01
5.4042584270e-01   1.6996167623e-01
5.4824215926e-01   1.6908479838e-01
5.5605847582e-01   1.6819557892e-01
5.6387479238e-01   1.6729404347e-01
5.7169110894e-01   1.6638021843e-01
5.7950742550e-01   1.6545413100e-01
5.8732374206e-01   1.6451580915e-01
5.9514005862e-01   1.6356528166e-01
6.0295637518e-01   1.6260257808e-01
6.1077269174e-01   1.6162772877e-01
6.1858900830e-01   1.6064076486e-01
6.2640532487e-01   1.5964171828e-01
6.3422164143e-01   1.5863062175e-01
6.4203795799e-01   1.5760750878e-01
6.4985427455e-01   1.5657241367e-01
6.5767059111e-01   1.5552537149e-01
6.6548690767e-01   1.5446641813e-01
6.7330322423e-01   1.5339559025e-01
6.8111954079e-01   1.5231292530e-01
6.8893585735e-01   1.5121846153e-01
6.9675217391e-01   1.5011223795e-01
7.0456849047e-01   1.4899429438e-01
7.1238480703e-01   1.4786467143e-01
7.2020112360e-01   1.4672341049e-01
7.2801744016e-01   1.4557055373e-01
7.3583375672e-01   1.4440614412e-01
7.4365007328e-01   1.4323022540e-01
7.5146638984e-01   1.4204284209e-01
7.5928270640e-01   1.4084403953e-01
7.6709902296e-01   1.3963386380e-01
7.7491533952e-01   1.3841236179e-01
7.8273165608e-01   1.3717958115e-01
7.9054797264e-01   1.3593557035e-01
7.9836428920e-01   1.3468037859e-01
8.0618060576e-01   1.3341405589e-01
8.1399692233e-01   1.3213665303e-01
8.2181323889e-01   1.3084822157e-01
8.2962955545e-01   1.2954881384e-01
8.3744587201e-01   1.2823848298e-01
8.4526218857e-01   1.2691728286e-01
8.5307850513e-01   1.2558526815e-01
8.6089482169e-01   1.2424249428e-01
8.6871113825e-01   1.2288901748e-01
8.7652745481e-01   1.2152489471e-01
8.8434377137e-01   1.2015018372e-01
8.9216008793e-01   1.1876494304e-01
8.9997640449e-01   1.1736923195e-01
9.0779272106e-01   1.1596311050e-01
9.1560903762e-01   1.1454663951e-01
9.2342535418e-01   1.1311988055e-01
9.3124167074e-01   1.1168289598e-01
9.3905798730e-01   1.1023574888e-01
9.4687430386e-01   1.0877850312e-01
9.5469062042e-01   1.0731122331e-01
9.6250693698e-01   1.0583397484e-01
9.7032325354e-01   1.0434682382e-01
9.7813957010e-01   1.0284983715e-01
9.8595588666e-01   1.0134308244e-01
9.9377220322e-01   9.9826628080e-02
1.0015885198e+00   9.8300543200e-02
1.0094048363e+00   9.6764897672e-02
1.0172211529e+00   9.5219762113e-02
1.0250374695e+00   9.3665207882e-02
1.0328537860e+00   9.2101307079e-02
1.0406701026e+00   9.0528132542e-02
1.0484864191e+00   8.8945757843e-02
1.0563027357e+00   8.7354257290e-02
1.0641190523e+00   8.5753705922e-02
1.0719353688e+00   8.4144179509e-02
1.0797516854e+00   8.2525754546e-02
1.0875680020e+00   8.0898508256e-02
1.0953843185e+00   7.9262518584e-02
1.1032006351e+00   7.7617864195e-02
1.1110169516e+00   7.5964624474e-02
1.1188332682e+00   7.4302879519e-02
1.1266495848e+00   7.2632710146e-02
1.1344659013e+00   7.0954197877e-02
1.1422822179e+00   6.9267424946e-02
1.1500985344e+00   6.7572474292e-02
1.1579148510e+00   6.5869429556e-02
1.1657311676e+00   6.4158375081e-02
1.1735474841e+00   6.2439395907e-02
1.1813638007e+00   6.0712577769e-02
1.1891801172e+00   5.8978007093e-02
1.1969964338e+00   5.7235770997e-02
1.2048127504e+00   5.5485957283e-02
1.2126290669e+00   5.3728654436e-02
1.2204453835e+00   5.1963951623e-02
1.2282617000e+00   5.0191938687e-02
1.2360780166e+00   4.8412706145e-02
1.2438943332e+00   4.6626345185e-02
1.2517106497e+00   4.4832947663e-02
1.2595269663e+00   4.3032606099e-02
1.2673432829e+00   4.1225413672e-02
1.2751595994e+00   3.9411464221e-02
1.2829759160e+00   3.7590852239e-02
1.2907922325e+00   3.5763672867e-02
1.2986085491e+00   3.3930021895e-02
1.3064248657e+00   3.2089995755e-02
1.3142411822e+00   3.0243691521e-02
1.3220574988e+00   2.8391206899e-02
1.3298738153e+00   2.6532640230e-02
1.3376901319e+00   2.4668090483e-02
1.3455064485e+00   2.2797657249e-02
1.3533227650e+00   2.0921440743e-02
1.3611390816e+00   1.9039541791e-02
1.3689553981e+00   1.7152061837e-02
1.3767717147e+00   1.5259102930e-02
1.3845880313e+00   1.3360767722e-02
1.3924043478e+00   1.1457159466e-02
1.4002206644e+00   9.5483820109e-03
1.4080369809e+00   7.6345397947e-03
1.4158532975e+00   5.7157378431e-03
1.4236696141e+00   3.7920817633e-03
1.4314859306e+00   1.8636777398e-03
1.4393022472e+00   -6.9367469822e-05
1.4471185638e+00   -2.0069465403e-03
1.4549348803e+00   -3.9489515828e-03
1.4627511969e+00   -5.8952741500e-03
1.4705675134e+00   -7.8458052411e-03
1.4783838300e+00   -9.8004353064e-03
1.4862001466e+00   -1.1759054252e-02
1.4940164631e+00   -1.3721551447e-02
1.5018327797e+00   -1.5687815725e-02
1.5096490962e+00   -1.7657735393e-02
1.5174654128e+00   -1.9631198233e-02
1.5252817294e+00   -2.1608091510e-02
1.5330980459e+00   -2.3588301977e-02
1.5409143625e+00   -2.5571715879e-02
1.5487306790e+00   -2.7558218962e-02
1.5565469956e+00   -2.9547696473e-02
1.5643633122e+00   -3.1540033170e-02
1.5721796287e+00   -3.3535113327e-02
1.5799959453e+00   -3.5532820737e-02
1.5878122618e+00   -3.7533038723e-02
1.5956285784e+00   -3.9535650138e-02
1.6034448950e+00   -4.1540537377e-02
1.6112612115e+00   -4.3547582375e-02
1.6190775281e+00   -4.5556666624e-02
1.6268938447e+00   -4.7567671167e-02
1.6347101612e+00   -4.9580476615e-02
1.6348101612e+00   -4.9606239092e-02
1.6358101612e+00   -4.9863878940e-02
1.6436264778e+00   -5.1878592410e-02
1.6514427943e+00   -5.3894849761e-02
1.6592591109e+00   -5.5912530272e-02
1.6670754275e+00   -5.7931512812e-02
1.6748917440e+00   -5.9951675845e-02
1.6827080606e+00   -6.1972897437e-02
1.6905243771e+00   -6.3995055266e-02
1.6983406937e+00   -6.6018026624e-02
1.7061570103e+00   -6.8041688428e-02
1.7139733268e+00   -7.0065917223e-02
1.7217896434e+00   -7.2090589192e-02
1.7296059599e+00   -7.4115580161e-02
1.7374222765e+00   -7.6140765607e-02
1.7452385931e+00   -7.8166020666e-02
1.7530549096e+00   -8.0191220139e-02
1.7608712262e+00   -8.2216238497e-02
1.7686875427e+00   -8.4240949894e-02
1.7765038593e+00   -8.6265228169e-02
1.7843201759e+00   -8.8288946856e-02
1.7921364924e+00   -9.0311979191e-02
1.7999528090e+00   -9.2334198120e-02
1.8077691255e+00   -9.4355476305e-02
1.8155854421e+00   -9.6375686135e-02
1.8234017587e+00   -9.8394699729e-02
1.8312180752e+00   -1.0041238895e-01
1.8390343918e+00   -1.0242862540e-01
1.8468507084e+00   -1.0444328045e-01
1.8546670249e+00   -1.0645622523e-01
1.8624833415e+00   -1.0846733064e-01
1.8702996580e+00   -1.1047646735e-01
1.8781159746e+00   -1.1248350585e-01
1.8859322912e+00   -1.1448831639e-01
1.8937486077e+00   -1.1649076904e-01
1.9015649243e+00   -1.1849073370e-01
1.9093812408e+00   -1.2048808006e-01
1.9171975574e+00   -1.2248267765e-01
1.9250138740e+00   -1.2447439586e-01
1.9328301905e+00   -1.2646310391e-01
1.9406465071e+00   -1.2844867086e-01
1.9484628236e+00   -1.3043096566e-01
1.9562791402e+00   -1.3240985712e-01
1.9640954568e+00   -1.3438521393e-01
1.9719117733e+00   -1.3635690468e-01
1.9797280899e+00   -1.3832479784e-01
1.9875444064e+00   -1.4028876182e-01
1.9953607230e+00   -1.4224866490e-01
2.0031770396e+00   -1.4420437534e-01
2.0109933561e+00   -1.4615576129e-01
2.0188096727e+00   -1.4810269087e-01
2.0266259893e+00   -1.5004503213e-01
2.0344423058e+00   -1.5198265311e-01
2.0422586224e+00   -1.5391542179e-01
2.0500749389e+00   -1.5584320616e-01
2.0578912555e+00   -1.5776587418e-01
2.0657075721e+00   -1.5968329382e-01
2.0735238886e+00   -1.6159533304e-01
2.0813402052e+00   -1.6350185984e-01
2.0891565217e+00   -1.6540274222e-01
2.0969728383e+00   -1.6729784826e-01
2.1047891549e+00   -1.6918704603e-01
2.1126054714e+00   -1.7107020369e-01
2.1204217880e+00   -1.7294718946e-01
2.1282381045e+00   -1.7481787164e-01
2.1360544211e+00   -1.7668211858e-01
2.1438707377e+00   -1.7853979877e-01
2.1516870542e+00   -1.8039078077e-01
2.1595033708e+00   -1.8223493326e-01
2.1673196873e+00   -1.8407212505e-01
2.1751360039e+00   -1.8590222507e-01
2.1829523205e+00   -1.8772510240e-01
2.1907686370e+00   -1.8954062627e-01
2.1985849536e+00   -1.9134866607e-01
2.2064012702e+00   -1.9314909135e-01
2.2142175867e+00   -1.9494177185e-01
2.2220339033e+00   -1.9672657751e-01
2.2298502198e+00   -1.9850337845e-01
2.2376665364e+00   -2.0027204501e-01
2.2454828530e+00   -2.0203244775e-01
2.2532991695e+00   -2.0378445745e-01
2.2611154861e+00   -2.0552794515e-01
2.2689318026e+00   -2.0726278211e-01
2.2767481192e+00   -2.0898883986e-01
2.2845644358e+00   -2.1070599022e-01
2.2923807523e+00   -2.1241410525e-01
2.3001970689e+00   -2.1411305733e-01
2.3080133854e+00   -2.1580271912e-01
2.3158297020e+00   -2.1748296359e-01
2.3236460186e+00   -2.1915366404e-01
2.3314623351e+00   -2.2081469408e-01
2.3392786517e+00   -2.2246592767e-01
2.3470949682e+00   -2.2410723910e-01
2.3549112848e+00   -2.2573850304e-01
2.3627276014e+00   -2.2735959451e-01
2.3705439179e+00   -2.2897038891e-01
2.3783602345e+00   -2.3057076203e-01
2.3861765511e+00   -2.3216059005e-01
2.3939928676e+00   -2.3373974956e-01
2.4018091842e+00   -2.3530811755e-01
2.4096255007e+00   -2.3686557147e-01
2.4174418173e+00   -2.3841198916e-01
2.4252581339e+00   -2.3994724893e-01
2.4330744504e+00   -2.4147122955e-01
2.4408907670e+00   -2.4298381023e-01
2.4487070835e+00   -2.4448487068e-01
2.4565234001e+00   -2.4597429105e-01
2.4643397167e+00   -2.4745195204e-01
2.4721560332e+00   -2.4891773480e-01
2.4799723498e+00   -2.5037152101e-01
2.4877886663e+00   -2.5181319289e-01
2.4956049829e+00   -2.5324263314e-01
2.5034212995e+00   -2.5465972506e-01
2.5112376160e+00   -2.5606435244e-01
2.5190539326e+00   -2.5745639967e-01
2.5268702491e+00   -2.5883575168e-01
2.5346865657e+00   -2.6020229399e-01
2.5425028823e+00   -2.6155591270e-01
2.5503191988e+00   -2.6289649450e-01
2.5581355154e+00   -2.6422392670e-01
2.5659518319e+00   -2.6553809719e-01
2.5737681485e+00   -2.6683889452e-01
