X    Y
0.0000000000e+00   0.0000000000e+00
1.9550342131e-02   1.1057768022e-06
3.9100684262e-02   1.1149044416e-06
5.8651026393e-02   1.1240603828e-06
7.8201368524e-02   1.1332432684e-06
9.7751710655e-02   1.1424516905e-06
1.1730205279e-01   1.1516841895e-06
1.3685239492e-01   1.1609392528e-06
1.5640273705e-01   1.1702153140e-06
1.7595307918e-01   1.1795107514e-06
1.9550342131e-01   1.1888238870e-06
2.1505376344e-01   1.1981529850e-06
2.3460410557e-01   1.2074962508e-06
2.5415444770e-01   1.2168518302e-06
2.7370478983e-01   1.2262178073e-06
2.9325513196e-01   1.2355922035e-06
3.1280547410e-01   1.2449729767e-06
3.3235581623e-01   1.2543580200e-06
3.5190615836e-01   1.2637451595e-06
3.7145650049e-01   1.2731321542e-06
3.9100684262e-01   1.2825166944e-06
4.1055718475e-01   1.2918963998e-06
4.3010752688e-01   1.3012688192e-06
4.4965786901e-01   1.3106314282e-06
4.6920821114e-01   1.3199816289e-06
4.8875855327e-01   1.3293167483e-06
5.0830889541e-01   1.3386340368e-06
5.2785923754e-01   1.3479306668e-06
5.4740957967e-01   1.3572037326e-06
5.6695992180e-01   1.3664502483e-06
5.8651026393e-01   1.3756671462e-06
6.0606060606e-01   1.3848512773e-06
6.2561094819e-01   1.3939994089e-06
6.4516129032e-01   1.4031082238e-06
6.6471163245e-01   1.4121743200e-06
6.8426197458e-01   1.4211942087e-06
7.0381231672e-01   1.4301643147e-06
7.2336265885e-01   1.4390809748e-06
7.4291300098e-01   1.4479404380e-06
7.6246334311e-01   1.4567388646e-06
7.8201368524e-01   1.4654723256e-06
8.0156402737e-01   1.4741368028e-06
8.2111436950e-01   1.4827281895e-06
8.4066471163e-01   1.4912422900e-06
8.6021505376e-01   1.4996748206e-06
8.7976539589e-01   1.5080214095e-06
8.9931573803e-01   1.5162775992e-06
9.1886608016e-01   1.5244388475e-06
9.3841642229e-01   1.5325005291e-06
9.5796676442e-01   1.5404579384e-06
9.7751710655e-01   1.5483062927e-06
9.9706744868e-01   1.5560407343e-06
1.0166177908e+00   1.5636563363e-06
1.0361681329e+00   1.5711481063e-06
1.0557184751e+00   1.5785109929e-06
1.0752688172e+00   1.5857398914e-06
1.0948191593e+00   1.5928296518e-06
1.1143695015e+00   1.5997750878e-06
1.1339198436e+00   1.6065709857e-06
1.1534701857e+00   1.6132121164e-06
1.1730205279e+00   1.6196932474e-06
1.1925708700e+00   1.6260091578e-06
1.2121212121e+00   1.6321546534e-06
1.2316715543e+00   1.6381245847e-06
1.2512218964e+00   1.6439138676e-06
1.2707722385e+00   1.6495175048e-06
1.2903225806e+00   1.6549306105e-06
1.3098729228e+00   1.6601484376e-06
1.3294232649e+00   1.6651664079e-06
1.3489736070e+00   1.6699801450e-06
1.3685239492e+00   1.6745855105e-06
1.3880742913e+00   1.6789786428e-06
1.4076246334e+00   1.6831560021e-06
1.4271749756e+00   1.6871144155e-06
1.4467253177e+00   1.6908511289e-06
1.4662756598e+00   1.6943638615e-06
1.4858260020e+00   1.6976508656e-06
1.5053763441e+00   1.7007109904e-06
1.5249266862e+00   1.7035437487e-06
1.5444770283e+00   1.7061493915e-06
1.5640273705e+00   1.7085289840e-06
1.5835777126e+00   1.7106844858e-06
1.6031280547e+00   1.7126188387e-06
1.6226783969e+00   1.7143360546e-06
1.6422287390e+00   1.7158413081e-06
1.6617790811e+00   1.7171410327e-06
1.6813294233e+00   1.7182430176e-06
