X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   2.4808095119e-03
9.7703957010e-03   2.5870197795e-03
1.4655593552e-02   2.7457582970e-03
1.9540791402e-02   2.9979209572e-03
2.4425989253e-02   3.4400734761e-03
2.9311187103e-02   4.3684747378e-03
3.4196384954e-02   7.3504817344e-03
3.9081582804e-02   7.7997707804e-02
4.3966780655e-02   3.5985103506e-03
4.8851978505e-02   1.1740109411e-03
5.3737176356e-02   3.4843160546e-04
5.8622374206e-02   5.7754501914e-05
6.3507572057e-02   2.9326096122e-04
6.8392769907e-02   4.4293402787e-04
7.3277967758e-02   5.4365494011e-04
7.8163165608e-02   6.1404919638e-04
8.3048363459e-02   6.6453863463e-04
8.7933561309e-02   7.0140377585e-04
9.2818759160e-02   7.2864498739e-04
9.7703957010e-02   7.4891942599e-04
1.0258915486e-01   7.6404885631e-04
1.0747435271e-01   7.7531178450e-04
1.1235955056e-01   7.8361994113e-04
1.1724474841e-01   7.8962928400e-04
1.2212994626e-01   7.9381213955e-04
1.2701514411e-01   7.9650529657e-04
1.3190034196e-01   7.9794264507e-04
1.3678553981e-01   7.9827753360e-04
1.4167073766e-01   7.9759807382e-04
1.4655593552e-01   7.9593316411e-04
1.5144113337e-01   1.1413693986e-03
1.5632633122e-01   1.1356734206e-03
1.6121152907e-01   1.1282382040e-03
1.6609672692e-01   1.1188182659e-03
1.7098192477e-01   1.1070926540e-03
1.7586712262e-01   1.0926570336e-03
1.8075232047e-01   1.0750136329e-03
1.8563751832e-01   9.4315373967e-04
1.9052271617e-01   9.1905276472e-04
1.9540791402e-01   8.8997711001e-04
2.0029311187e-01   8.5500842372e-04
2.0517830972e-01   3.3356501167e-04
2.1006350757e-01   3.1222767052e-04
2.1494870542e-01   2.8687319079e-04
2.1983390327e-01   2.8787849177e-05
2.2471910112e-01   2.3375182255e-04
2.2960429897e-01   2.0227759497e-04
2.3448949682e-01   2.4117263290e-04
2.3937469468e-01   1.1240826694e-04
2.4425989253e-01   5.8443331628e-05
2.4914509038e-01   4.9598525054e-06
2.5403028823e-01   6.1534783090e-05
2.5891548608e-01   5.1105357171e-04
2.6380068393e-01   4.1369581811e-05
2.6868588178e-01   3.5809033775e-07
2.7357107963e-01   1.1743313330e-03
2.7845627748e-01   5.8926254199e-04
2.8334147533e-01   6.7005692375e-05
2.8822667318e-01   8.6023668612e-04
2.9311187103e-01   7.6840308133e-05
2.9799706888e-01   8.5516245573e-04
3.0288226673e-01   4.4500847477e-04
3.0776746458e-01   1.5282136528e-04
3.1265266243e-01   2.4998430859e-06
3.1753786028e-01   3.3051299396e-04
3.2242305813e-01   2.2279542669e-04
3.2730825598e-01   3.6302280954e-05
3.3219345383e-01   6.9166958643e-05
3.3707865169e-01   5.9800994446e-05
3.4196384954e-01   4.5462336958e-05
3.4684904739e-01   1.1941658661e-03
3.5173424524e-01   1.4108884621e-03
3.5661944309e-01   3.4546059336e-03
3.6150464094e-01   1.6838455116e-03
3.6638983879e-01   9.2042178761e-04
3.7127503664e-01   1.4707612034e-03
3.7616023449e-01   6.5763767587e-05
3.8104543234e-01   2.6326941259e-04
3.8593063019e-01   5.9033368282e-04
3.9081582804e-01   5.4688793918e-04
3.9570102589e-01   5.1490782663e-04
4.0058622374e-01   5.7473487902e-05
4.0547142159e-01   7.9356193001e-04
4.1035661944e-01   7.6656911195e-04
4.1524181729e-01   7.4034331529e-04
4.2012701514e-01   7.1238519803e-04
4.2501221299e-01   6.8070860355e-04
4.2989741085e-01   6.4378535077e-04
4.3478260870e-01   1.1086994631e-03
4.3966780655e-01   1.0105736323e-03
4.4455300440e-01   8.9830320982e-04
4.4943820225e-01   7.6662905496e-04
4.5432340010e-01   6.1728308275e-04
4.5920859795e-01   4.5108906193e-04
4.6409379580e-01   1.4171922743e-04
4.6897899365e-01   1.3664417958e-05
4.7386419150e-01   1.3372563514e-04
4.7874938935e-01   1.3110444523e-05
4.8363458720e-01   1.3569636268e-04
4.8851978505e-01   2.2751989536e-04
4.9340498290e-01   3.7402513419e-04
4.9829018075e-01   6.7448391435e-04
5.0317537860e-01   8.3160854383e-03
5.0806057645e-01   1.7751731631e-02
5.1294577430e-01   4.5081955472e-03
5.1783097215e-01   2.5897691827e-03
5.2271617000e-01   1.7959321522e-03
5.2760136786e-01   1.6945523668e-03
5.3248656571e-01   1.3280784452e-03
5.3737176356e-01   1.0674534433e-03
5.4225696141e-01   8.7140261830e-04
5.4714215926e-01   7.1834223575e-04
5.5202735711e-01   5.9582617019e-04
5.5691255496e-01   4.9612552938e-04
5.6179775281e-01   4.1415099992e-04
5.6668295066e-01   3.4638715620e-04
5.7156814851e-01   2.2907860267e-04
5.7645334636e-01   1.9254716700e-04
5.8133854421e-01   1.6269632424e-04
5.8622374206e-01   1.3861933610e-04
5.9110893991e-01   1.1958762680e-04
5.9599413776e-01   1.0500307088e-04
6.0087933561e-01   9.4364443975e-05
6.0576453346e-01   8.7243107531e-05
6.1064973131e-01   8.3264865279e-05
6.1553492916e-01   8.2096046712e-05
6.2042012702e-01   8.3432563928e-05
6.2530532487e-01   8.6991127850e-05
6.3019052272e-01   9.2502097523e-05
6.3507572057e-01   9.9703628902e-05
6.3996091842e-01   1.0833692118e-04
6.4484611627e-01   1.1814253117e-04
6.4973131412e-01   3.3041846825e-05
6.5461651197e-01   3.5939652703e-05
6.5950170982e-01   3.8918249883e-05
6.6438690767e-01   4.1906299384e-05
6.6927210552e-01   4.4831359611e-05
6.7415730337e-01   4.7620467096e-05
6.7904250122e-01   5.0200950702e-05
6.8392769907e-01   5.2501454374e-05
6.8881289692e-01   5.4453131901e-05
6.9369809477e-01   5.5990965698e-05
6.9858329262e-01   5.7055151526e-05
7.0346849047e-01   5.7592483627e-05
7.0835368832e-01   5.7557670899e-05
7.1323888617e-01   5.6914515428e-05
7.1812408403e-01   5.5636890180e-05
7.2300928188e-01   5.3709462805e-05
7.2789447973e-01   5.1128126681e-05
7.3277967758e-01   4.7900117146e-05
7.3766487543e-01   4.4043808872e-05
7.4255007328e-01   3.9588208052e-05
