X    Y
2.0000000000e-01   0.0000000000e+00
1.9999388596e-01   -1.5650082301e-03
1.9997552586e-01   -3.1334477275e-03
1.9994489321e-01   -4.7052303754e-03
1.9990196224e-01   -6.2802677083e-03
1.9984670785e-01   -7.8584709172e-03
1.9977910563e-01   -9.4397508545e-03
1.9969913190e-01   -1.1024018039e-02
1.9960676365e-01   -1.2611182660e-02
1.9950197859e-01   -1.4201154585e-02
1.9938475513e-01   -1.5793843361e-02
1.9925507239e-01   -1.7389158221e-02
1.9911291020e-01   -1.8987008089e-02
1.9895824909e-01   -2.0587301588e-02
1.9879107034e-01   -2.2189947038e-02
1.9861135591e-01   -2.3794852467e-02
1.9841908849e-01   -2.5401925612e-02
1.9821425152e-01   -2.7011073929e-02
1.9799682912e-01   -2.8622204591e-02
1.9776680617e-01   -3.0235224498e-02
1.9752416827e-01   -3.1850040282e-02
1.9726890174e-01   -3.3466558307e-02
1.9700099365e-01   -3.5084684680e-02
1.9672043179e-01   -3.6704325252e-02
1.9642720470e-01   -3.8325385623e-02
1.9612130165e-01   -3.9947771150e-02
1.9580271264e-01   -4.1571386946e-02
1.9547142845e-01   -4.3196137893e-02
1.9512744056e-01   -4.4821928638e-02
1.9477074122e-01   -4.6448663604e-02
1.9440132343e-01   -4.8076246993e-02
1.9401918093e-01   -4.9704582791e-02
1.9362430821e-01   -5.1333574770e-02
1.9321670053e-01   -5.2963126498e-02
1.9279635388e-01   -5.4593141339e-02
1.9236326503e-01   -5.6223522461e-02
1.9191743148e-01   -5.7854172837e-02
1.9145885152e-01   -5.9484995255e-02
1.9098752418e-01   -6.1115892318e-02
1.9050344926e-01   -6.2746766450e-02
1.9000662731e-01   -6.4377519903e-02
1.8949705968e-01   -6.6008054757e-02
1.8897474844e-01   -6.7638272931e-02
1.8843969645e-01   -6.9268076181e-02
1.8789190735e-01   -7.0897366109e-02
1.8733138553e-01   -7.2526044165e-02
1.8675813616e-01   -7.4154011655e-02
1.8617216518e-01   -7.5781169742e-02
1.8557347930e-01   -7.7407419451e-02
1.8496208602e-01   -7.9032661677e-02
1.8433799358e-01   -8.0656797186e-02
1.8370121104e-01   -8.2279726619e-02
1.8305174821e-01   -8.3901350500e-02
1.8238961567e-01   -8.5521569239e-02
1.8171482481e-01   -8.7140283134e-02
1.8102738778e-01   -8.8757392381e-02
1.8032731750e-01   -9.0372797070e-02
1.7961462770e-01   -9.1986397200e-02
1.7888933286e-01   -9.3598092675e-02
1.7815144828e-01   -9.5207783311e-02
1.7740099000e-01   -9.6815368842e-02
1.7663797488e-01   -9.8420748923e-02
1.7586242055e-01   -1.0002382314e-01
1.7507434542e-01   -1.0162449099e-01
1.7427376870e-01   -1.0322265193e-01
1.7346071037e-01   -1.0481820534e-01
1.7263519120e-01   -1.0641105055e-01
1.7179723277e-01   -1.0800108683e-01
1.7094685742e-01   -1.0958821341e-01
1.7008408828e-01   -1.1117232948e-01
1.6920894928e-01   -1.1275333417e-01
1.6832146514e-01   -1.1433112660e-01
1.6742166136e-01   -1.1590560583e-01
1.6650956423e-01   -1.1747667094e-01
